vennum,name,address1,address2,address3,phonenum,notes1,notes2,addresscity,addressstate,addresszip,faxnum,memo,oldemail,web,email
ACCUBI,TRIMBLE NAVIGATION LIMITED,PO BOX 203558,"DALLAS, TX 75320-3558",nan,(800) 222-8243,nan,,DALLAS,TX,75320-3558,(866) 517-2236,nan,,nan,nan
ACKCHA,ACKERMAN CHACCO,P.O. BOX DEPT. 839,"CINCINNATI, OH 45269",nan,(513) 791-4252,nan,,CINCINNATI,OH,45269,nan,nan,,nan,nan
ACMLOC,"ACME LOCK, INC.",815 MADISON AVE,"COVINGTON, KY 41011",nan,(513) 241-2614,nan,,COVINGTON,KY,41011,nan,nan,,nan,nan
ACTCAR,ACTION CARPET,516 W SHARON ROAD,"CINCINNATI, OH 45240",nan,(513) 931-3777,nan,,CINCINNATI,OH,45240,nan,nan,,nan,nan
ACUFIN,ACURA FINANCIAL SERVICPO,BOX 60001,"CITY OF INDUSTR, CA 91716-0001",nan,nan,nan,,CITY OF INDUSTRY,CA,91716-0001,nan,nan,,nan,nan
ADI,ADI,P.O. BOX 731340,"DALLAS, TX 75373-1340",nan,(513) 772-1851,nan,,DALLAS,TX,75373-1340,nan,nan,,nan,nan
ADT,ADT,1630 DALTON AVENUE,"CINCINNATI, OH 45214",nan,nan,nan,,CINCINNATI,OH,45214,nan,nan,,nan,nan
AERO,KOI PRECAST CONCRETE INC,5719 LIMABURG ROAD,"BURLINGTON, KY 41005",nan,(859) 371-4005,nan,,BURLINGTON,KY,41005,nan,nan,,nan,nan
AHFC,AMERICAN HONDA FINANCE,PO BOX 650024,"DALLAS, TX 75265-0024",nan,nan,nan,,DALLAS,TX,75265-0024,nan,nan,,nan,nan
AIRSAS,AIRGAS SAFETY,PO BOX 951884,"DALLAS, TX 75395-1884",nan,(800) 558-8900,nan,,DALLAS,TX,75395-1884,nan,nan,,nan,nan
AIRWX,AIR WORX,PO BOX 7842,"CHICAGO, IL 60686-0078",nan,(513) 407-9902,nan,,CHICAGO,IL,60686-0078,nan,nan,,nan,nan
ALADIS,ALARMAX DISTRIBUTORS I,P.O. BOX 951685,"CLEVELAND, OH 44193",nan,(513) 874-2555,nan,,CLEVELAND,OH,44193,nan,nan,,nan,nan
ALAWAT,C.O.P.S. MONITORING,P.O. BOX 836,"WILLIAMSTOWN, NJ 08094",nan,(866) 500-8808,nan,,WILLIAMSTOWN,NJ,8094,nan,nan,,nan,nan
ALBMIK,"ALBERT, MIKE          ",P.O. BOX 630582,"CINCINNATI, OH 45263",nan,(513) 563-1400,nan,,CINCINNATI,OH,45263,nan,nan,,nan,nan
ALLBRI,ALL-BRITE NEON,P.O. BOX 402,"MASON, OH 45040",nan,nan,nan,,MASON,OH,45040,nan,nan,,nan,nan
ALPMAC,ALPHA MACHINE & MOBILE,3980 HIGHWAY 42 WEST,"GHENT, KY 41045",nan,(859) 567-4111,nan,,GHENT,KY,41045,nan,nan,,nan,nan
AMEEXP,AMERICAN EXPRESS,PO BOX 650448,"DALLAS, TX 75265-0448",nan,(800) 528-2122,nan,,DALLAS,TX,75265-0448,nan,nan,,nan,nan
AMEHEA,AMERICAN HEART ASSOCIA,240 WHITTINGTON PARKWAY,"LOUISVILLE, KY 40222",nan,nan,nan,,LOUISVILLE,KY,40222,nan,nan,,nan,nan
AMESCA,American Scaffolding,PO BOX 58145,"CINCINNATI, OH 45258",nan,(513) 353-1181,nan,,CINCINNATI,OH,45258,nan,nan,,nan,nan
AMESOU,AMERICAN SOUND,1800 RUSSELL STREET,"COVINGTON, KY 41014",nan,(606) 261-9024,nan,,COVINGTON,KY,41014,nan,nan,,nan,nan
AMEVAN,AMERICAN VAN EQUIPMENT,149 LEHIGH AVE,"LAKEWOOD, NJ 08701-9011",nan,(800) 526-4743,nan,,LAKEWOOD,NJ,08701-9011,nan,nan,,nan,nan
AMSCON,"AMS CONSTRUCTION, INC.",10670 LOVELAND MADEIRA RD,"LOVELAND, OH 45140",nan,(513) 794-0410,nan,,LOVELAND,OH,45140,(513) 794-0414,nan,,nan,nan
ANDFIR,ANDERSON FIRE AND RESC,#VALUE!,nan,nan,nan,nan,,nan,nan,#VALUE!,nan,nan,,nan,nan
ANDSON,ANDERSON & SON'S INC.,P.O. BOX 334,"GHENT, KY 41045",nan,(502) 347-9287,nan,,GHENT,KY,41045,nan,nan,,nan,nan
ANDTOW,ANDERSON      FIRE & RESCUE DE,#VALUE!,nan,nan,nan,nan,,nan,nan,#VALUE!,nan,nan,,nan,nan
ANICIN,ANIXTER,P.O. BOX  847428,"DALLAS, TX 75284-7428",nan,(513) 881-4610,nan,,DALLAS,TX,75284-7428,nan,nan,,nan,nan
ANTBLU,ANTHEM BLUE CROSS & BLUE SHIEL,ATTN: LIST BILL TEAM,PO BOX 659806,"SAN ANTONIO, TX 78265-9106",nan,nan,,SAN ANTONIO,TX,78265-9106,nan,nan,,nan,nan
APOGLA,APOLLO GLASS & MIRROR,3667 PAXTON AVENUE,"CINCINNATI, OH 45208",nan,513 871-900,nan,,CINCINNATI,OH,45208,nan,nan,,nan,nan
AQUNEA,NEAL AQUINO,400 PIKE ST,"CINCINNATI, OH 45202",nan,nan,nan,,CINCINNATI,OH,45202,nan,nan,,nan,nan
ARCWIR,ARCH WIRELESS,P. O. BOX 4062,"WOBURN, MA 01888-4062",nan,(800) 584-4249,nan,,WOBURN,MA,01888-4062,nan,nan,,nan,nan
ARTMEC,SEXTON INDUSTRIAL,366 CIRCLE FREEWAY,"CINCINNATI, OH 45246",nan,(513) 530-5555,nan,,CINCINNATI,OH,45246,nan,nan,,nan,nan
ARTREN,ARTS RENTAL,215 E 6TH STREET,"NEWPORT, KY 41071",nan,(859) 431-4519,nan,,NEWPORT,KY,41071,nan,nan,,nan,nan
ASCSOL,ASCENDUM SOLUTIONS LLC,P.O. BOX 63-5957,"CINCINNATI, OH 45263-5957",nan,nan,nan,,CINCINNATI,OH,45263-5957,nan,nan,,nan,nan
ASSEMP,SUN LIFE FINANCIAL,PO BOX 807009,"KANSAS CITY, MO 64184-7009",nan,nan,nan,,KANSAS CITY,MO,64184-7009,nan,nan,,nan,nan
AT&T,AT&T,P.O. BOX 105262,"ATLANTA, GA 30348-5262",nan,(800) 288-2020,nan,,ATLANTA,GA,30348-5262,nan,nan,,nan,nan
ATKSTA,ATKINS & STANG,1031 META DRIVE,"CINCINNATI, OH 45237",nan,(513) 242-8300,nan,,CINCINNATI,OH,45237,nan,nan,,nan,nan
ATRMED,ATRIUM MEDICAL CENTER,ONE MEDICAL CENTER DR,"FRANKLIN, OH 45005-1006",nan,(866) 674-4737,nan,,FRANKLIN,OH,45005-1006,nan,nan,,nan,nan
ATTI,ATTI,6001 SAVOY,"HOUSTON, TX 77036",nan,(800) 279-0035,nan,,HOUSTON,TX,77036,nan,nan,,nan,nan
AUTRAI,AUTOMATIC RAIN,501 DARBY CREEK,"LEXINGTON, KY 40509",nan,(859) 268-4214,nan,,LEXINGTON,KY,40509,nan,nan,,nan,nan
AUXGAS,AUXIERGAS,2698 OLD STATE ROUTE 32,"BATAVIA, OH 45103",nan,0,nan,,BATAVIA,OH,45103,nan,nan,,nan,nan
AWSIG,AWARDS& SIGN GRAPHICS,4970 GLENWAY AVE,"CINCINNATI, OH 45238",nan,(513) 251-2400,nan,,CINCINNATI,OH,45238,nan,nan,,nan,nan
AYELAR,"LARRY AYER, P.E.      ",2867 STANTON AVE.,"CINCINNATI, OH 45206",nan,(513) 961-7200,nan,,CINCINNATI,OH,45206,nan,nan,,nan,nan
B1TECH,"B-1 TECHNOLOGIES, LLC",7723 TYLERSPLACE BLVD,#324,"WEST CHESTER, OH 45069",(513) 851-0096,nan,,WEST CHESTER,OH,45069,nan,nan,,nan,nan
BACBUR,"BACKGROUND BUREAU, INC",2019 ALEXANDRIA PIKE,"HIGHLAND HEIGHTS, KY 41076",nan,(859) 781-3400,nan,,HIGHLAND HEIGHTS,KY,41076,nan,nan,,nan,nan
BAITOO,BAILEY TOOLS & SUPPLY,P.O. BOX 17526,"LOUISVILLE, KY 40217",nan,(502) 635-6348,nan,,LOUISVILLE,KY,40217,nan,nan,,nan,nan
BARAND,ANDREW BARRETT,#VALUE!,nan,nan,0,nan,,nan,nan,#VALUE!,nan,nan,,nan,nan
BATPLU,BATTERIES PLUS,PO BOX 71631,"CHICAGO, IL 60694-1631",nan,(0,nan,,CHICAGO,IL,60694-1631,nan,nan,,nan,nan
BATRTO,BACKSCHEIDER,4400 E MIAMI RIVER ROAD,"CLEVES, OH 45002",nan,(513) 353-3173,nan,,CLEVES,OH,45002,nan,nan,,nan,nan
BEBUBU,BETTER BUSINESS BUREAU,1 E 4th STREET,SUITE 600,"CINCINNATI, OH 45202",(0,nan,,CINCINNATI,OH,45202,nan,nan,,nan,nan
BECJOH,KENDALL ELECTRIC,PO BOX 671121,"DETROIT, MI 48267-1121",nan,(513) 771-2550,nan,,DETROIT,MI,48267-1121,(513) 771-6527,nan,,nan,nan
BECNET,"BECK'S NETWORKING, INC",PO BOX 44,"EAST ENTERPRISE, IN 47019",nan,(812) 534-3822,nan,,EAST ENTERPRISE,IN,47019,nan,nan,,nan,nan
BECOCU,BERNARD CONCRETE CUTTI,1441 GEST STREET,"CINCINNATI, OH 45203",nan,(513) 421-1950,nan,,CINCINNATI,OH,45203,nan,nan,,nan,nan
BEIELE,J. BEISCHEL ELECTRIC,10175 INTERNATIONAL BLVD,"CINCINNATI, OH 45246",nan,(513) 860-3290,nan,,CINCINNATI,OH,45246,nan,nan,,nan,nan
BEIWIR,BEIRNE & WIRTHLIN CO.,1745 MADISON ROAD,"CINCINNATI, OH 45206",nan,0,nan,,CINCINNATI,OH,45206,nan,nan,,nan,nan
BELMER,"BELMER, H.           ",555 CARR STREET,"CINCINNATI, OH 45203",nan,(513) 241-4341,nan,,CINCINNATI,OH,45203,nan,nan,,nan,nan
BELSOU,BELL SOUTH,P.O. BOX 70529,"CHARLOTTE, NC 28272-0529",nan,(866) 620-6000,nan,,CHARLOTTE,NC,28272-0529,nan,nan,,nan,nan
BERBRI,BRIAN BERTKE,10094 BENTCREEK DRIVE,"LOVELAND, OH 45140",nan,(513) 000-0000,nan,,LOVELAND,OH,45140,nan,nan,,nan,nan
BERELE,BERTKE ELECTRIC COMPAN,1645 BLUE ROCK STREET,"CINCINNATI, OH 45223",nan,(513) 542-2350,nan,,CINCINNATI,OH,45223,nan,nan,,nan,nan
BERJOH,"BERTKE, JOHN L.",nan,nan,nan,(0,nan,,nan,nan,nan,nan,nan,,nan,nan
BERKEV,"BERTKE, KEVIN L.     ",101 GIBSON LANE,"WILDER, KY 41076",nan,0,nan,,WILDER,KY,41076,nan,nan,,nan,nan
BERMAT,"BERTKE, MATTHEW L.    ",8675 OAKBROOK RIDGE,"ROCKFORD, MI 49341",nan,(812) 539-2933,nan,,ROCKFORD,MI,49341,nan,nan,,nan,nan
BERMFG,BERGSTROM MFG INC,18954 180TH AVE NW,"BIG LAKE, MN 55309",nan,(800) 679-6681,nan,,BIG LAKE,MN,55309,nan,nan,,nan,nan
BESONE,BEST ONE,PO BOX 606,"MILFORD, OH 45150-0606",nan,(513) 542-4050,nan,,MILFORD,OH,45150-0606,nan,nan,,nan,nan
BETHEA,"BETHESDA HEALTHCARE, I",P.O. BOX 630185,"CINCINNATI, OH 45263-0185",nan,(513) 891-7230,nan,,CINCINNATI,OH,45263-0185,nan,nan,,nan,nan
BIDDON,DONNA BIDDLE,1739 EADS ROAD,"VERONA, KY 41092",nan,0,nan,,VERONA,KY,41092,nan,nan,,nan,nan
BIERP,R. P. BIEDERMAN,75 SMALLEY BLVD.,"HAMILTON, OH 45013",nan,(513) 863-7900,nan,,HAMILTON,OH,45013,nan,nan,,nan,nan
BIZELE,"BIZCOM ELECTRIC, INC. ",2867 STANTON AVENU,"CINCINNATI, OH 45206",nan,(513) 961-7200,nan,,CINCINNATI,OH,45206,nan,nan,,nan,nan
BLAMEC,"Blau Mechanical, Inc. ",1532 Russell Street,"Covington, Ky 41011",nan,(859) 291-3159,nan,,Covington,Ky,41011,nan,nan,,nan,nan
BOBCAT,BOBCAT ENTERPRISES,nan,nan,nan,(513) 874-8945,nan,,nan,nan,nan,nan,nan,,nan,nan
BOBDAY,BOBCAT OF DAYTON INC.,2850 E. RIVER ROAD,"DAYTON, OH 45439",nan,(937) 293-3176,nan,,DAYTON,OH,45439,nan,nan,,nan,nan
BOHEQU,BOHNERT EQUIPMENT CO I,ATTN:  MR. NORVIN RAQUE,"LOUISVILLE, KY 40203-3327",nan,0,nan,,LOUISVILLE,KY,40203-3327,nan,nan,,nan,nan
BOMA,GREATER CINCINNATI BOM,3318 KLEEMAN LAKE COURT,"CINCINNATI, OH 45211",nan,(513) 621-8382,nan,,CINCINNATI,OH,45211,nan,nan,,nan,nan
BOOBOY,BOONE COUNTY BOYS BASKCOACH KE,"FLORENCE, KY 41042",nan,nan,0,nan,,FLORENCE,KY,41042,nan,nan,,nan,nan
BOOCOU,BOONE COUNTY FISCAL COURT,nan,nan,nan,(0,nan,,nan,nan,nan,nan,nan,,nan,nan
BOOCTY,THE BOONE COUNTY,2950 WASHINGTON STREET,"BURLINGTON, KY 41005",nan,(859) 334-2218,nan,,BURLINGTON,KY,41005,nan,nan,,nan,nan
BORDER,BORDERLINE AUTO SALES,301 LOVELAND-MADERIA RD,"LOVELAND, OH 45140",nan,(513) 683-9417,nan,,LOVELAND,OH,45140,nan,nan,,nan,nan
BORLEN,"BORKOWSKI, LEONARD",862 LAKE RUN LANE,"ERLANGER, KY 41018",nan,(513) 383-5108,nan,,ERLANGER,KY,41018,nan,nan,,nan,nan
BOSSYS,BOSCH SECURITY SYTEMS,33902 TREASURY CENTER,"CHICAGO, IL 60694-3900",nan,(800) 289-0096,nan,,CHICAGO,IL,60694-3900,nan,nan,,nan,nan
BOWGRO,"BOWLIN COMMUNICATIONS,",12200 CHANDLER DRIVE,"WALTON, KY 41094",nan,(800) 686-5851,nan,,WALTON,KY,41094,nan,nan,,nan,nan
BOWJEF,JEFF BOWLING,10090 JAMES ROAD,"BROOKVILLE, IN 47012",nan,(0,nan,,BROOKVILLE,IN,47012,nan,nan,,nan,nan
BP OIL,BP,"CHARLOTTE, NC 28272-0887",nan,nan,(800) 299-5766,nan,,CHARLOTTE,NC,28272-0887,nan,nan,,nan,nan
BRADOU,"BRAY, DOUGLAS B.      ",5547 WERK ROAD,"CINCINNATI, OH 45248",nan,0,nan,,CINCINNATI,OH,45248,nan,nan,,nan,nan
BRAJEF,JEFFREY BRAASCH,12 EASTRIDGE DRIVE,"AMELIA, OH 45102",nan,(513) 724-5371,nan,,AMELIA,OH,45102,nan,nan,,nan,nan
BRAMIK,MICHAEL D. BRAY,5606 LITTLE FLOWER AVE,"CINCINNATI, OH 45239",nan,(513) 681-4505,nan,,CINCINNATI,OH,45239,nan,nan,,nan,nan
BRATIM,TIM BRAASCH,6575 SPRINGDALE ROAD,"CINCINNATI, OH 45247",nan,(937) 444-6454,nan,,CINCINNATI,OH,45247,nan,nan,,nan,nan
BRENCO,BRENCO,PO BOX 487,"ROSS, OH 45061-0487",nan,(513) 738-1808,nan,,ROSS,OH,45061-0487,nan,nan,,nan,nan
BROASS,Brooks Associates,503 Worthington Avenue,"Cincinnati, Oh 45215",nan,(513) 821-2402,nan,,Cincinnati,Oh,45215,nan,nan,,nan,nan
BROSIG,"BROCKMAN SIGNS, INC.  ",6041 HARRISON AVE,"CINCINNATI, OH 45248",nan,0,nan,,CINCINNATI,OH,45248,nan,nan,,nan,nan
BUCPOW,BUCKEYE POWER SALES,4992 RIALTO ROAD,"WEST CHESTER, OH 45069",nan,(614) 861-6000,nan,,WEST CHESTER,OH,45069,nan,nan,,nan,nan
BUDHER,BUD HERBERT MOTORS INC,4050 SPRING GROVE AVE,"CINCINNATI, OH 45223",nan,(513) 541-3290,nan,,CINCINNATI,OH,45223,nan,nan,,nan,nan
